,Home Value,LowIncTracts_Pct,Urban_Pct,Desert_Pct,LA1and10_Pct,LAhalfand10_Pct,LA1and20_Pct,LATracts_half_Pct,LATracts1_Pct,LATracts10_Pct,LATracts20_Pct,LATractsVehicle_20_Pct,PovertyRate_FIPS,Prediction,NatWalkInd,Train,Walk_Difference,Scaled_Walk_Difference,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
48019,342959.0050090921,0.2,0.0,0.0,0.6,0.6,0.2,0.0,0.0,0.6,0.2,0.2,13.76,5.9039288,5.388888888888888,False,-0.5150398678249788,0.3512089110903122,7.916666666666667,13.75,4.333333333333333,1.0
48355,220362.8850493298,0.4691358024691358,0.8765432098765432,0.32098765432098764,0.49382716049382713,0.8888888888888888,0.4691358024691358,0.8641975308641975,0.4691358024691358,0.024691358024691357,0.0,0.2962962962962963,16.04320987654321,9.515637,11.71143250688705,False,2.1957951091209367,0.6518028794391526,9.90495867768595,9.801652892561984,11.99586776859504,13.285123966942148
18023,172072.50536211333,0.375,0.5,0.25,0.125,0.625,0.0,0.5,0.0,0.125,0.0,0.125,12.575,6.636289,6.057291666666663,False,-0.5789974530537956,0.34411690271892886,10.09375,7.4375,8.40625,1.0
24023,314269.601685335,1.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,9.557142857142859,5.79711,5.696969696969698,False,-0.10014038374929601,0.39721550442588444,12.181818181818182,13.454545454545455,3.272727272727273,1.0
19149,236600.22811600388,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,9.183333333333334,6.022911,5.689393939393941,False,-0.3335171323834025,0.3713372626336414,11.909090909090908,10.5,4.863636363636363,1.0
44007,380681.2870605064,0.5106382978723404,0.9432624113475178,0.23404255319148937,0.2695035460992908,0.7730496453900709,0.2695035460992908,0.7730496453900709,0.2695035460992908,0.0,0.0,0.4326241134751773,16.929787234042553,11.302372,13.643286573146293,False,2.3409145943865273,0.6678946158715453,11.138276553106213,11.278557114228457,15.442885771543086,14.278557114228457
46091,227750.8013571428,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.3,5.641032,5.611111111111113,False,-0.029921107821992088,0.4050018473737501,12.333333333333334,15.333333333333334,2.0,1.0
40129,140095.53315322273,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.5,5.077297,5.7222222222222205,False,0.6449250115288612,0.4798329140988182,13.333333333333334,17.0,1.0,1.0
47179,252819.66640557811,0.34782608695652173,0.6956521739130435,0.30434782608695654,0.4782608695652174,0.6956521739130435,0.4782608695652174,0.6956521739130435,0.4782608695652174,0.0,0.0,0.43478260869565216,16.791304347826088,7.205521,6.58119658119658,False,-0.6243245255233907,0.33909075959212687,9.961538461538462,10.064102564102564,8.73076923076923,1.0
13261,109247.80650997195,0.875,0.25,0.25,0.125,0.25,0.125,0.25,0.125,0.0,0.0,0.375,26.5,5.216479,6.397435897435896,False,1.1809570728204175,0.5392714287395611,12.923076923076923,11.0,6.230769230769231,1.0
17027,171414.65824546298,0.375,0.125,0.0,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.25,8.9125,5.440883,6.623655913978497,False,1.1827727543410456,0.5394727626157229,13.451612903225806,11.516129032258064,6.387096774193548,1.0
40087,257206.75237042896,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,10.516666666666667,5.635158,6.533333333333333,False,0.898175271352132,0.5079148524067769,13.25,12.95,5.5,1.0
13057,437083.5596931718,0.07692307692307693,0.8076923076923077,0.038461538461538464,0.6923076923076923,0.8076923076923077,0.6923076923076923,0.8076923076923077,0.6923076923076923,0.0,0.0,0.15384615384615385,8.742307692307692,7.6197,6.950980392156863,False,-0.6687195628297093,0.3341679662268385,11.75294117647059,14.023529411764706,6.964705882352941,1.0
13011,295225.93664269504,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,13.575,5.6858106,5.047619047619049,False,-0.6381915183294371,0.33755310258530663,12.714285714285714,11.285714285714286,2.142857142857143,1.0
20113,183756.98405144885,0.0,0.5714285714285714,0.0,0.7142857142857143,1.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.0,0.2857142857142857,9.514285714285714,7.1012926,6.954022988505745,False,-0.14726962166271207,0.39198952616821453,12.10344827586207,10.379310344827585,8.620689655172415,1.0
30101,168526.67083768515,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,8.833333333333334,6.167001,6.499999999999999,False,0.33299922943115146,0.44524467487788943,11.875,10.875,7.125,1.0
21041,169422.4004210875,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,25.03333333333333,4.598177,5.383333333333332,False,0.7851563771565742,0.49538262591805315,11.5,8.0,5.4,1.0
51840,308305.8921272447,0.4,1.0,0.4,0.6,1.0,0.6,1.0,0.6,0.0,0.0,1.0,14.780000000000001,10.167349,9.659722222222229,False,-0.5076266394721074,0.35203093520753687,14.75,13.125,14.041666666666666,1.0
